NeSa,S_d,b,model,number,pa,product
99.11774,-44.12724,0.90432,Exp.Nes100_dDFE.Exponential/,672,0.00274,0.2715826076
80.96672,-42.25062,0.9722,Exp.Nes100_dDFE.Exponential/,74,0.00337,0.2728578464
94.27175,-40.7002,0.94849,Exp.Nes100_dDFE.Exponential/,613,0.00288,0.27150264
69.61173,-40.6528,0.995,Exp.Nes100_dDFE.Exponential/,313,0.0039,0.271485747
57.01686,-40.92995,0.97717,Exp.Nes100_dDFE.Exponential/,76,0.00475,0.270830085
59.90011,-39.53639,1.0038,Exp.Nes100_dDFE.Exponential/,293,0.00462,0.2767385082
65.1928,-40.38763,1.01026,Exp.Nes100_dDFE.Exponential/,425,0.00414,0.269898192
73.67752,-40.04247,1.00066,Exp.Nes100_dDFE.Exponential/,616,0.00367,0.2703964984
80.23663,-39.94481,1.0009,Exp.Nes100_dDFE.Exponential/,756,0.0035,0.280828205
78.66434,-41.2509,0.96602,Exp.Nes100_dDFE.Exponential/,137,0.00344,0.2706053296
96.33661,-42.61005,0.92394,Exp.Nes100_dDFE.Exponential/,717,0.00277,0.2668524097
72.33438,-41.02636,0.95659,Exp.Nes100_dDFE.Exponential/,305,0.00375,0.271253925
98.98128,-40.69821,0.95794,Exp.Nes100_dDFE.Exponential/,538,0.00275,0.27219852
90.23531,-42.47565,0.97455,Exp.Nes100_dDFE.Exponential/,172,0.00313,0.2824365203
97.85624,-42.40938,0.93022,Exp.Nes100_dDFE.Exponential/,276,0.00271,0.2651904104
98.79787,-41.55963,0.94025,Exp.Nes100_dDFE.Exponential/,39,0.00271,0.2677422277
96.42387,-44.21439,0.88726,Exp.Nes100_dDFE.Exponential/,187,0.00279,0.2690225973
99.3603,-44.79504,0.90887,Exp.Nes100_dDFE.Exponential/,176,0.00262,0.260323986
63.37566,-40.56814,1.00338,Exp.Nes100_dDFE.Exponential/,690,0.00423,0.2680790418
95.54403,-40.32969,0.96299,Exp.Nes100_dDFE.Exponential/,120,0.00279,0.2665678437
68.01105,-42.30285,0.97304,Exp.Nes100_dDFE.Exponential/,947,0.00403,0.2740845315
88.39739,-44.25978,0.90145,Exp.Nes100_dDFE.Exponential/,772,0.00299,0.2643081961
97.28361,-38.07372,1.01334,Exp.Nes100_dDFE.Exponential/,422,0.0028,0.272394108
74.15905,-42.83368,0.93311,Exp.Nes100_dDFE.Exponential/,793,0.00366,0.271422123
80.09319,-42.68966,0.92329,Exp.Nes100_dDFE.Exponential/,860,0.00335,0.2683121865
90.57893,-44.39035,0.92781,Exp.Nes100_dDFE.Exponential/,153,0.00304,0.2753599472
71.50797,-40.51253,1.00088,Exp.Nes100_dDFE.Exponential/,259,0.00381,0.2724453657
94.37297,-43.76823,0.92388,Exp.Nes100_dDFE.Exponential/,906,0.00297,0.2802877209
99.93837,-46.10266,0.88956,Exp.Nes100_dDFE.Exponential/,472,0.00265,0.2648366805
57.03834,-42.78235,0.96649,Exp.Nes100_dDFE.Exponential/,817,0.00482,0.2749247988
81.76445,-42.55633,0.98682,Exp.Nes100_dDFE.Exponential/,497,0.00327,0.2673697515
62.32902,-40.69842,0.99015,Exp.Nes100_dDFE.Exponential/,310,0.00433,0.2698846566
84.27121,-44.83669,0.91606,Exp.Nes100_dDFE.Exponential/,755,0.00315,0.2654543115
91.43154,-44.51374,0.91821,Exp.Nes100_dDFE.Exponential/,656,0.00302,0.2761232508
49.96614,-39.64962,1.0154,Exp.Nes100_dDFE.Exponential/,789,0.00546,0.2728151244
62.39486,-38.591,1.07034,Exp.Nes100_dDFE.Exponential/,162,0.00443,0.2764092298
76.91037,-44.45273,0.9343,Exp.Nes100_dDFE.Exponential/,142,0.00355,0.2730318135
85.47581,-42.15938,0.94956,Exp.Nes100_dDFE.Exponential/,213,0.00325,0.2777963825
59.23847,-35.95967,1.09391,Exp.Nes100_dDFE.Exponential/,366,0.00473,0.2801979631
99.03815,-45.17681,0.88697,Exp.Nes100_dDFE.Exponential/,705,0.00262,0.259479953
86.00036,-41.89489,0.96603,Exp.Nes100_dDFE.Exponential/,509,0.00315,0.270901134
75.06272,-40.89607,0.98853,Exp.Nes100_dDFE.Exponential/,446,0.00367,0.2754801824
